Default Channel Grouping,Date,Sessions
Referral,12/17/2016,69381.00
Social,5/21/2017,4335.00
(Other),11/6/2017,17320.00
Direct,10/15/2016,8660.00
Paid Search,11/23/2016,51961.00
Organic Search,11/6/2016,17314.00
(Other),7/27/2017,17276.00
Organic Search,10/27/2016,17251.00
Organic Search,11/1/2016,17251.00
(Other),7/3/2017,17232.00
Organic Search,10/31/2016,17232.00
Referral,12/1/2016,68879.00
Direct,1/15/2017,8597.00
Referral,5/29/2017,68753.00
Referral,11/29/2016,68728.00
Social,5/18/2017,4294.00
(Other),8/13/2017,17163.00
Organic Search,11/2/2016,17163.00
(Other),8/8/2017,17157.00
Referral,7/28/2017,68628.00
Social,1/3/2017,4288.00
Paid Search,3/24/2017,51433.00
(Other),7/20/2017,17113.00
Social,3/27/2017,4272.00
Display,10/27/2017,85408.00
Social,5/1/2017,4270.00
Referral,12/3/2016,68226.00
Referral,12/10/2016,68151.00
Direct,10/17/2016,8513.00
Social,11/13/2016,4250.00
Organic Search,10/18/2016,16987.00
(Other),7/16/2017,16962.00
Display,10/29/2017,84811.00
Referral,9/30/2017,67799.00
Referral,6/15/2017,67724.00
Referral,2/7/2017,67598.00
Paid Search,3/2/2017,50623.00
Direct,1/8/2017,8428.00
Referral,6/23/2017,67422.00
Referral,6/7/2017,67372.00
(Other),8/7/2017,16837.00
Organic Search,10/30/2016,16837.00
Referral,5/1/2017,67347.00
Direct,10/18/2016,8400.00
Referral,12/18/2016,67196.00
Referral,3/29/2017,67146.00
Referral,3/30/2017,67146.00
Referral,12/21/2016,67070.00
Display,10/19/2017,83807.00
Direct,11/9/2016,8374.00
Paid Search,7/22/2017,50171.00
Paid Search,1/25/2017,50152.00
Paid Search,1/17/2017,50020.00
Referral,10/6/2017,66694.00
Referral,5/23/2017,66643.00
Organic Search,11/9/2016,16642.00
Referral,6/4/2017,66568.00
Social,11/10/2016,4161.00
(Other),9/25/2017,16629.00
Organic Search,10/23/2016,16617.00
Paid Search,2/26/2017,49832.00
Organic Search,10/10/2016,16592.00
Paid Search,1/6/2017,49775.00
(Other),3/18/2017,16542.00
Referral,11/9/2017,66141.00
Referral,4/21/2017,66116.00
Referral,4/28/2017,66091.00
Direct,11/13/2016,8255.00
(Other),9/4/2017,16504.00
Referral,5/25/2017,65990.00
Paid Search,3/10/2017,49474.00
Referral,12/30/2016,65915.00
Paid Search,3/21/2017,49417.00
Paid Search,3/23/2017,49417.00
Social,12/1/2016,4118.00
Paid Search,11/19/2016,49398.00
Other Advertising,12/13/2017,164599.00
Paid Search,1/21/2017,49361.00
Referral,1/1/2017,65814.00
Referral,6/1/2017,65789.00
Organic Search,11/12/2016,16441.00
Referral,5/21/2017,65714.00
Social,12/31/2016,4104.00
(Other),6/8/2017,16410.00
(Other),7/21/2017,16410.00
Direct,10/12/2016,8192.00
Paid Search,1/23/2017,49154.00
Display,12/30/2017,81860.00
Direct,1/21/2017,8183.00
Email,12/1/2017,32731.00
Social,5/7/2017,4088.00
Organic Search,10/16/2016,16284.00
Referral,7/19/2017,65111.00
Organic Search,11/5/2016,16271.00
Paid Search,1/30/2017,48739.00
Referral,11/23/2016,64985.00
Social,5/20/2017,4062.00
Social,1/4/2017,4060.00
Display,12/26/2017,81169.00
Email,12/4/2017,32455.00
(Other),4/7/2017,16209.00
Social,11/9/2016,4051.00
Referral,5/2/2017,64784.00
Referral,12/20/2017,64784.00
Paid Search,1/7/2017,48494.00
Paid Search,11/22/2016,48419.00
Paid Search,3/20/2017,48400.00
Paid Search,3/22/2017,48400.00
Referral,12/12/2017,64533.00
Display,10/28/2017,80572.00
Social,11/30/2016,4027.00
Direct,10/11/2016,8035.00
Paid Search,3/19/2017,48212.00
Email,11/18/2017,32128.00
Social,12/27/2016,4014.00
Social,5/2/2017,4013.00
Paid Search,1/26/2017,48117.00
(Other),3/14/2017,16027.00
Direct,11/11/2016,8001.00
Display,12/29/2017,79976.00
Social,12/5/2016,3999.00
Social,4/28/2017,3991.00
Referral,11/30/2016,63780.00
Referral,11/15/2016,63755.00
Referral,5/9/2017,63755.00
Social,11/16/2017,3978.00
Display,10/9/2017,79536.00
Referral,9/15/2017,63629.00
(Other),7/22/2017,15895.00
Display,10/20/2017,79222.00
Referral,10/17/2017,63328.00
(Other),7/4/2017,15819.00
Display,10/8/2017,79097.00
Paid Search,2/27/2017,47232.00
Referral,5/10/2017,62976.00
Referral,8/28/2017,62976.00
Referral,10/7/2017,62976.00
Organic Search,10/19/2016,15731.00
Paid Search,1/18/2017,47194.00
Email,12/3/2017,31425.00
Social,5/22/2017,3928.00
(Other),7/10/2017,15706.00
Social,12/26/2016,3927.00
Referral,11/14/2017,62775.00
Paid Search,3/3/2017,47025.00
Referral,11/12/2017,62574.00
Social,11/28/2017,3906.00
Direct,10/13/2016,7800.00
Social,11/29/2016,3900.00
Social,5/24/2017,3900.00
Direct,12/24/2016,7787.00
Display,12/12/2017,77872.00
Paid Search,3/5/2017,46723.00
Affiliates,12/11/2017,116761.00
Direct,11/12/2016,7781.00
Paid Search,11/21/2016,46648.00
Referral,12/2/2016,62147.00
Social,11/18/2016,3883.00
Display,11/23/2017,77621.00
Social,5/23/2017,3876.00
(Other),8/21/2017,15499.00
(Other),10/14/2017,15499.00
(Other),10/30/2017,15499.00
Paid Search,3/11/2017,46497.00
Referral,11/8/2017,61996.00
Organic Search,10/28/2016,15493.00
(Other),11/1/2017,15455.00
Referral,5/11/2017,61745.00
(Other),8/12/2017,15430.00
Paid Search,3/4/2017,46271.00
Display,12/31/2017,77087.00
Referral,4/13/2017,61644.00
Paid Search,1/13/2017,46196.00
Social,10/31/2016,3850.00
Referral,4/29/2017,61544.00
Referral,5/5/2017,61494.00
Referral,12/13/2017,61494.00
Paid Search,2/25/2017,46083.00
Referral,5/7/2017,61343.00
Email,12/8/2017,30634.00
Paid Search,3/1/2017,45951.00
Paid Search,1/20/2017,45913.00
Referral,5/15/2017,61217.00
Referral,11/3/2017,61217.00
Display,12/11/2017,76490.00
Paid Search,3/18/2017,45894.00
Direct,11/5/2016,7646.00
(Other),8/26/2017,15286.00
Direct,10/31/2016,7643.00
Referral,7/12/2017,61142.00
Referral,11/1/2017,61092.00
Social,5/8/2017,3815.00
Social,12/2/2016,3810.00
(Other),10/20/2017,15216.00
Referral,10/18/2017,60866.00
Display,10/12/2017,76051.00
Paid Search,10/15/2016,45499.00
Referral,6/9/2017,60665.00
Other Advertising,12/19/2017,151536.00
Referral,12/27/2016,60589.00
(Other),9/2/2017,15116.00
Direct,10/19/2016,7545.00
Social,5/28/2017,3771.00
Social,6/28/2017,3770.00
Email,12/16/2017,30144.00
Referral,5/24/2017,60288.00
(Other),10/23/2017,15059.00
(Other),8/9/2017,15053.00
Direct,11/1/2016,7527.00
Referral,12/19/2017,60188.00
(Other),7/5/2017,15041.00
Referral,9/2/2017,60112.00
Direct,11/2/2016,7511.00
Direct,11/6/2016,7508.00
Paid Search,12/21/2016,45046.00
Referral,4/30/2017,60037.00
Other Advertising,12/18/2017,149966.00
Paid Search,2/17/2017,44971.00
Social,4/11/2017,3746.00
Social,11/5/2016,3744.00
Direct,10/16/2016,7486.00
Paid Search,1/19/2017,44877.00
Affiliates,12/28/2017,112098.00
Email,11/20/2017,29880.00
Referral,8/8/2017,59710.00
Social,10/30/2016,3730.00
Email,12/26/2017,29830.00
Paid Search,12/20/2016,44745.00
(Other),3/19/2017,14909.00
Referral,6/3/2017,59534.00
Social,10/29/2016,3721.00
(Other),9/18/2017,14877.00
Referral,5/17/2017,59509.00
Social,4/2/2017,3719.00
Referral,6/21/2017,59459.00
Email,8/22/2017,29704.00
Paid Search,3/17/2017,44557.00
Paid Social,12/24/2017,14852.00
Paid Search,1/12/2017,44519.00
Social,4/1/2017,3710.00
(Other),10/27/2017,14833.00
Referral,6/2/2017,59333.00
Social,12/4/2016,3708.00
(Other),5/8/2017,14815.00
Referral,10/16/2016,59258.00
Social,12/5/2017,3702.00
Referral,5/16/2017,59208.00
Social,11/4/2016,3697.00
Referral,5/28/2017,59032.00
Paid Search,2/9/2017,44255.00
Referral,8/31/2017,59007.00
Social,8/14/2017,3688.00
Referral,11/24/2016,58982.00
(Other),7/7/2017,14739.00
Social,12/3/2016,3685.00
Social,10/5/2017,3685.00
(Other),8/27/2017,14733.00
(Other),8/3/2017,14727.00
Social,11/24/2017,3682.00
Social,5/17/2017,3680.00
Referral,4/17/2017,58856.00
Display,10/11/2017,73539.00
Organic Search,10/7/2016,14708.00
Paid Search,1/24/2017,44029.00
Referral,11/14/2016,58705.00
Direct,10/27/2016,7322.00
Social,5/4/2017,3655.00
Paid Search,2/21/2017,43841.00
Referral,3/9/2017,58354.00
Affiliates,12/13/2017,109366.00
Social,11/20/2016,3642.00
Referral,5/14/2017,58253.00
Paid Search,3/12/2017,43596.00
Referral,10/23/2017,58103.00
Paid Search,11/3/2016,43539.00
Social,12/6/2016,3627.00
Social,4/10/2017,3627.00
Paid Search,3/16/2017,43502.00
Paid Search,2/8/2017,43464.00
Social,5/29/2017,3622.00
(Other),11/2/2017,14475.00
Paid Search,2/6/2017,43426.00
Referral,5/18/2017,57902.00
Social,11/25/2016,3609.00
Referral,3/17/2017,57676.00
Organic Search,10/26/2016,14406.00
Social,2/7/2017,3602.00
Affiliates,12/12/2017,107953.00
Paid Search,3/6/2017,43144.00
Referral,9/29/2017,57475.00
Affiliates,1/5/2018,107671.00
Paid Search,2/12/2017,43068.00
Paid Search,2/22/2017,43012.00
Direct,10/28/2016,7162.00
Social,11/12/2016,3580.00
(Other),9/22/2017,14306.00
Referral,11/17/2016,57223.00
Referral,3/23/2017,57148.00
(Other),9/3/2017,14274.00
Referral,6/26/2017,57098.00
Social,11/22/2016,3564.00
Paid Search,12/23/2016,42748.00
Paid Social,12/23/2017,14230.00
(Other),8/14/2017,14218.00
Email,11/19/2017,28398.00
Other Advertising,12/11/2017,141928.00
Referral,12/26/2016,56771.00
(Other),8/11/2017,14168.00
Referral,9/12/2017,56671.00
Social,11/15/2016,3542.00
(Other),8/24/2017,14143.00
Organic Search,10/20/2016,14143.00
Referral,10/17/2016,56570.00
Other Advertising,12/14/2017,141363.00
Social,5/31/2017,3531.00
Display,10/7/2017,70524.00
Paid Search,12/24/2016,42315.00
Social,11/11/2016,3526.00
Other Advertising,12/12/2017,140923.00
Social,4/12/2017,3523.00
Referral,5/27/2017,56319.00
Referral,6/16/2017,56294.00
(Other),8/17/2017,13967.00
Referral,2/20/2017,55867.00
Social,11/23/2016,3492.00
Referral,12/14/2017,55842.00
(Other),9/14/2017,13954.00
Social,7/19/2017,3489.00
Email,1/3/2018,27883.00
Paid Search,1/8/2017,41806.00
Paid Search,2/4/2017,41787.00
Paid Search,2/10/2017,41731.00
Email,12/17/2017,27783.00
Other Advertising,12/17/2017,138788.00
Social,10/25/2017,3467.00
Referral,10/19/2017,55440.00
Social,6/14/2017,3465.00
Direct,10/22/2016,6927.00
Paid Search,2/19/2017,41542.00
Social,6/6/2017,3462.00
Email,12/12/2017,27682.00
Paid Search,10/14/2016,41523.00
Referral,11/10/2017,55314.00
Paid Search,3/8/2017,41448.00
Paid Search,2/15/2017,41429.00
Organic Search,10/6/2016,13803.00
Paid Search,2/18/2017,41373.00
Paid Search,2/28/2017,41278.00
Referral,12/8/2017,55013.00
Paid Search,3/7/2017,41241.00
Paid Search,2/23/2017,41222.00
Direct,10/23/2016,6867.00
Direct,10/24/2016,6867.00
Other Advertising,12/15/2017,137344.00
Direct,10/10/2016,6864.00
Paid Search,3/15/2017,41165.00
Display,10/10/2017,68515.00
Social,5/10/2017,3426.00
Paid Search,1/11/2017,41090.00
(Other),7/28/2017,13684.00
Referral,8/10/2017,54711.00
(Other),3/15/2017,13659.00
Social,11/24/2016,3415.00
(Other),10/28/2017,13646.00
Referral,6/11/2017,54561.00
(Other),4/24/2017,13634.00
(Other),7/31/2017,13634.00
(Other),8/10/2017,13634.00
(Other),7/30/2017,13628.00
Paid Search,12/22/2016,40883.00
Referral,11/20/2016,54510.00
Social,11/19/2016,3407.00
Organic Search,10/5/2016,13609.00
Paid Search,10/16/2016,40826.00
Social,12/19/2016,3397.00
(Other),4/13/2017,13571.00
Referral,5/12/2017,54284.00
Paid Search,2/1/2017,40694.00
Paid Search,2/24/2017,40694.00
Paid Search,2/3/2017,40676.00
Social,3/29/2017,3388.00
Social,10/23/2016,3385.00
Email,12/2/2017,27067.00
Social,6/7/2017,3383.00
Referral,4/18/2017,54083.00
Paid Search,11/17/2016,40525.00
Paid Search,3/14/2017,40525.00
Social,10/10/2016,3377.00
Social,5/14/2017,3377.00
Referral,8/25/2017,53983.00
(Other),8/6/2017,13489.00
Paid Search,3/13/2017,40468.00
Social,11/6/2016,3372.00
(Other),10/31/2017,13477.00
Social,5/6/2017,3369.00
(Other),8/15/2017,13458.00
Social,3/26/2017,3365.00
Paid Search,1/31/2017,40355.00
Paid Search,2/20/2017,40355.00
Paid Search,11/16/2016,40280.00
Referral,6/17/2017,53707.00
(Other),8/25/2017,13414.00
Email,10/26/2017,26816.00
Referral,4/14/2017,53631.00
Referral,10/18/2016,53606.00
Paid Search,2/5/2017,40186.00
Referral,6/19/2017,53506.00
(Other),4/25/2017,13364.00
Referral,3/6/2017,53355.00
Social,11/17/2016,3333.00
(Other),7/29/2017,13320.00
Email,12/9/2017,26640.00
(Other),7/11/2017,13314.00
Direct,10/30/2016,6657.00
Email,11/10/2017,26615.00
Display,10/6/2017,66505.00
Organic Search,10/29/2016,13301.00
Paid Search,1/9/2017,39884.00
Referral,10/26/2017,53129.00
Organic Search,10/21/2016,13263.00
Referral,9/20/2017,53053.00
Paid Search,2/11/2017,39771.00
Referral,12/10/2017,53028.00
Social,12/14/2016,3314.00
(Other),11/8/2016,13251.00
Referral,11/2/2017,52928.00
Paid Search,2/16/2017,39621.00
Referral,2/16/2017,52677.00
Social,5/27/2017,3291.00
Referral,10/31/2017,52626.00
Social,12/17/2016,3289.00
Referral,7/30/2017,52601.00
Social,4/3/2017,3281.00
Social,12/17/2017,3280.00
Social,1/5/2017,3277.00
(Other),5/5/2017,13100.00
(Other),3/20/2017,13075.00
Email,1/18/2017,26150.00
Organic Search,10/4/2016,13062.00
Social,6/4/2017,3262.00
Paid Search,1/10/2017,39112.00
Referral,11/4/2017,52124.00
Referral,3/16/2017,52049.00
Referral,4/22/2017,52049.00
Organic Search,10/3/2016,13006.00
Social,11/21/2016,3251.00
Social,12/15/2016,3251.00
Social,2/12/2017,3251.00
Social,5/25/2017,3248.00
Paid Search,2/2/2017,38961.00
Email,12/25/2017,25949.00
Referral,5/13/2017,51898.00
Email,12/10/2017,25886.00
Social,4/17/2017,3236.00
Social,6/27/2017,3236.00
Referral,7/31/2017,51697.00
Social,12/18/2016,3231.00
(Other),9/1/2017,12918.00
Referral,3/19/2017,51672.00
Display,9/1/2017,64558.00
Referral,12/15/2017,51370.00
Social,12/3/2017,3209.00
Social,6/1/2017,3203.00
Referral,5/6/2017,51169.00
Social,1/16/2017,3198.00
(Other),4/26/2017,12780.00
Social,5/19/2017,3193.00
Social,6/3/2017,3192.00
Social,11/26/2017,3192.00
Paid Search,2/13/2017,38283.00
Social,12/16/2016,3190.00
Social,2/11/2017,3186.00
Social,11/1/2016,3184.00
Paid Search,11/13/2016,38151.00
(Other),8/2/2017,12686.00
Direct,10/20/2016,6337.00
Referral,11/19/2016,50667.00
Referral,3/24/2017,50617.00
Referral,9/27/2017,50567.00
Social,5/30/2017,3160.00
Referral,1/5/2017,50541.00
Referral,2/21/2017,50541.00
Social,5/13/2017,3159.00
Referral,7/5/2017,50466.00
(Other),10/19/2017,12604.00
Display,10/2/2017,63020.00
Referral,1/31/2017,50416.00
Social,3/28/2017,3151.00
Organic Search,10/9/2016,12579.00
Social,8/13/2017,3137.00
Paid Search,11/14/2016,37623.00
Social,4/19/2017,3129.00
Social,11/7/2016,3127.00
Social,4/15/2017,3127.00
Social,1/29/2017,3118.00
Email,11/21/2017,24894.00
Referral,10/20/2017,49788.00
Social,10/6/2016,3112.00
Referral,2/1/2017,49763.00
Social,1/27/2017,3104.00
(Other),4/8/2017,12390.00
Email,12/13/2017,24768.00
Referral,2/8/2017,49512.00
Paid Social,12/22/2017,12372.00
Organic Search,10/8/2016,12334.00
Paid Search,2/14/2017,36983.00
Social,6/15/2017,3080.00
Display,10/1/2017,61575.00
Referral,11/18/2016,49260.00
Referral,9/28/2017,49260.00
Social,1/28/2017,3074.00
Social,4/18/2017,3074.00
(Other),4/3/2017,12284.00
Display,10/3/2017,61418.00
Social,6/12/2017,3071.00
Referral,9/25/2017,49084.00
Social,6/8/2017,3066.00
Paid Search,10/11/2016,36776.00
Referral,2/2/2017,49009.00
Referral,12/9/2017,48959.00
Paid Search,11/6/2016,36644.00
Social,11/11/2017,3054.00
Social,5/9/2017,3052.00
Social,11/8/2017,3052.00
Referral,1/26/2017,48808.00
(Other),8/4/2017,12196.00
Email,12/20/2017,24392.00
Paid Social,12/21/2017,12189.00
Referral,3/20/2017,48733.00
Social,11/25/2017,3044.00
Referral,5/19/2017,48657.00
Social,6/5/2017,3040.00
Social,8/18/2017,3040.00
(Other),3/8/2017,12152.00
Referral,1/3/2018,48456.00
Social,6/11/2017,3029.00
Referral,2/22/2017,48431.00
Display,10/5/2017,60508.00
Referral,8/3/2017,48381.00
Other Advertising,12/16/2017,120890.00
Referral,6/24/2017,48356.00
Paid Search,11/15/2016,36229.00
Display,12/13/2017,60225.00
Referral,6/28/2017,48180.00
Paid Search,11/12/2016,36041.00
Social,8/3/2017,3003.00
Paid Search,10/22/2016,36003.00
Email,8/23/2017,23990.00
(Other),4/22/2017,11963.00
Social,5/15/2017,2991.00
Referral,9/7/2017,47828.00
Social,5/11/2017,2989.00
Social,5/16/2017,2986.00
(Other),4/27/2017,11932.00
Referral,2/3/2017,47703.00
(Other),5/19/2017,11913.00
Social,11/16/2016,2978.00
Social,10/1/2017,2977.00
Affiliates,12/17/2017,89207.00
Direct,10/29/2016,5931.00
Paid Search,10/17/2016,35589.00
Paid Search,11/4/2016,35551.00
Referral,6/10/2017,47276.00
Affiliates,12/18/2017,88595.00
Social,1/22/2017,2953.00
Social,12/11/2017,2953.00
Paid Search,11/5/2016,35419.00
Referral,2/4/2017,47226.00
Social,1/19/2017,2952.00
(Other),8/5/2017,11800.00
(Other),4/23/2017,11788.00
Affiliates,12/16/2017,88360.00
Social,6/2/2017,2945.00
Affiliates,12/19/2017,88171.00
Social,7/12/2017,2939.00
Social,7/30/2017,2939.00
(Other),10/16/2017,11750.00
Referral,8/9/2017,47000.00
Referral,12/31/2016,46924.00
Referral,11/11/2017,46924.00
Social,6/10/2017,2931.00
Display,12/14/2017,58498.00
Referral,1/30/2017,46773.00
Referral,6/27/2017,46773.00
Paid Search,10/12/2016,35061.00
Referral,9/4/2017,46673.00
Social,12/10/2017,2911.00
(Other),4/17/2017,11624.00
Email,10/13/2017,23223.00
(Other),10/18/2017,11605.00
Referral,2/23/2017,46372.00
(Other),5/9/2017,11587.00
Display,9/12/2017,57902.00
Social,1/25/2017,2895.00
Display,9/14/2017,57870.00
Social,4/16/2017,2892.00
Referral,3/7/2017,46221.00
Referral,6/18/2017,46221.00
Social,1/23/2017,2889.00
Direct,10/7/2016,5774.00
Email,11/2/2017,23085.00
Social,11/2/2016,2883.00
Affiliates,12/14/2017,86287.00
Social,1/11/2017,2876.00
Social,5/26/2017,2876.00
(Other),4/14/2017,11499.00
Social,5/5/2017,2870.00
Social,6/18/2017,2868.00
Social,1/15/2017,2865.00
Referral,7/25/2017,45744.00
Paid Search,10/23/2016,34195.00
Display,8/21/2017,56928.00
Organic Search,10/2/2016,11386.00
Referral,3/22/2017,45517.00
Referral,2/9/2017,45442.00
Referral,9/24/2017,45442.00
Referral,10/9/2016,45417.00
Display,10/4/2017,56740.00
Social,1/8/2017,2832.00
Referral,9/21/2017,45266.00
(Other),9/26/2017,11304.00
Email,11/23/2017,22583.00
Paid Search,11/8/2016,33874.00
Referral,10/22/2017,45116.00
Display,8/31/2017,56363.00
Email,8/24/2017,22545.00
Paid Search,10/13/2016,33724.00
Display,9/13/2017,56143.00
Social,8/15/2017,2804.00
Social,12/18/2017,2802.00
Direct,10/6/2016,5599.00
Referral,3/1/2017,44764.00
Social,1/17/2017,2796.00
Referral,11/3/2016,44714.00
Social,1/13/2017,2795.00
Social,6/30/2017,2795.00
(Other),4/9/2017,11166.00
Email,11/22/2017,22332.00
Paid Search,11/7/2016,33479.00
Email,9/15/2017,22294.00
Referral,6/29/2017,44588.00
Social,11/12/2017,2787.00
Affiliates,1/3/2018,83555.00
Referral,3/21/2017,44563.00
Social,4/13/2017,2771.00
Social,6/16/2017,2771.00
Referral,4/15/2017,44312.00
Referral,6/22/2017,44312.00
(Other),9/23/2017,11065.00
Display,8/24/2017,55327.00
Referral,1/23/2017,44261.00
Referral,3/18/2017,44261.00
Organic Search,10/1/2016,11047.00
Referral,10/21/2017,44161.00
Paid Search,10/18/2016,33083.00
Email,12/27/2017,22018.00
(Other),4/18/2017,10990.00
Display,12/15/2017,54950.00
Referral,8/1/2017,43960.00
Social,1/10/2017,2748.00
Display,10/15/2017,54887.00
Referral,9/22/2017,43910.00
Referral,4/16/2017,43784.00
Social,2/10/2017,2735.00
Display,9/19/2017,54667.00
Display,10/13/2017,54636.00
(Other),4/21/2017,10921.00
Referral,1/20/2017,43684.00
Display,10/16/2017,54573.00
Social,11/30/2017,2729.00
Paid Search,10/24/2016,32687.00
Social,12/4/2017,2721.00
Display,8/19/2017,54228.00
Display,9/18/2017,54228.00
Display,9/26/2017,54134.00
(Other),8/1/2017,10814.00
Referral,3/2/2017,43257.00
Email,1/31/2017,21616.00
(Other),5/7/2017,10802.00
Referral,11/13/2016,43206.00
(Other),2/8/2017,10783.00
Direct,10/4/2016,5385.00
Direct,10/8/2016,5385.00
Email,12/1/2016,21528.00
Social,12/26/2017,2691.00
Referral,2/19/2017,43031.00
Referral,7/20/2017,42955.00
Referral,7/24/2017,42880.00
(Other),3/21/2017,10714.00
Display,8/23/2017,53568.00
Referral,7/26/2017,42855.00
(Other),10/13/2017,10707.00
Referral,2/18/2017,42830.00
Social,12/13/2016,2672.00
Direct,10/3/2016,5341.00
Display,9/4/2017,53286.00
Affiliates,12/15/2017,79835.00
(Other),8/28/2017,10638.00
Paid Search,10/10/2016,31896.00
Display,10/14/2017,53129.00
Direct,10/21/2016,5310.00
Social,6/9/2017,2655.00
Display,12/16/2017,53066.00
Social,12/6/2017,2653.00
Social,2/21/2017,2652.00
Social,12/8/2017,2650.00
Referral,2/27/2017,42352.00
Social,1/14/2017,2647.00
Social,1/24/2017,2647.00
Social,5/12/2017,2645.00
Referral,7/13/2017,42302.00
Paid Search,10/19/2016,31708.00
Referral,2/24/2017,42277.00
Social,12/9/2017,2642.00
(Other),8/16/2017,10563.00
Affiliates,12/30/2017,79175.00
Direct,10/5/2016,5278.00
Email,11/13/2017,21088.00
Paid Search,11/10/2016,31614.00
Display,8/26/2017,52658.00
Display,9/20/2017,52595.00
Display,8/22/2017,52564.00
Social,10/22/2016,2625.00
Social,1/18/2017,2623.00
Social,4/14/2017,2622.00
Social,1/12/2017,2617.00
(Other),7/6/2017,10462.00
Display,8/25/2017,52281.00
Social,12/2/2017,2614.00
Paid Search,11/11/2016,31312.00
Social,9/30/2017,2609.00
Referral,1/17/2017,41699.00
Referral,7/17/2017,41649.00
Referral,8/26/2017,41649.00
Social,11/29/2017,2597.00
Display,9/11/2017,51873.00
Direct,10/9/2016,5181.00
Social,2/13/2017,2589.00
Referral,3/8/2017,41348.00
Referral,2/15/2017,41297.00
Referral,1/18/2017,41247.00
Referral,6/25/2017,41172.00
Social,1/20/2017,2573.00
Referral,9/8/2017,41121.00
Social,2/9/2017,2570.00
Referral,1/22/2017,41096.00
Referral,1/10/2017,41071.00
Display,9/15/2017,51308.00
Social,12/12/2017,2565.00
Referral,2/5/2017,40996.00
Referral,8/7/2017,40920.00
Paid Search,10/30/2016,30672.00
Social,10/7/2016,2554.00
Social,12/8/2016,2554.00
Social,2/1/2017,2554.00
Display,8/15/2017,50994.00
Display,9/5/2017,50994.00
Referral,7/11/2017,40795.00
Referral,9/3/2017,40694.00
(Other),12/13/2017,10167.00
Display,9/6/2017,50837.00
Referral,3/5/2017,40619.00
Referral,8/2/2017,40594.00
Display,8/18/2017,50711.00
(Other),9/6/2017,10136.00
Display,8/14/2017,50680.00
Display,9/30/2017,50617.00
Social,11/19/2017,2526.00
Social,10/28/2016,2521.00
Referral,7/10/2017,40292.00
Referral,1/24/2017,40242.00
Social,1/7/2017,2515.00
Email,1/4/2018,20109.00
Social,2/8/2017,2512.00
Referral,3/3/2017,40167.00
Referral,9/1/2017,40142.00
Affiliates,12/31/2017,75219.00
Referral,1/16/2017,40016.00
Social,1/6/2018,2498.00
Display,9/27/2017,49926.00
(Other),4/19/2017,9979.00
Display,9/17/2017,49895.00
Referral,2/13/2017,39916.00
Referral,2/10/2017,39865.00
(Other),4/20/2017,9960.00
Email,11/14/2017,19920.00
Referral,10/30/2016,39840.00
(Other),5/6/2017,9954.00
Referral,10/31/2016,39815.00
Referral,1/27/2017,39815.00
Social,12/1/2017,2488.00
Referral,12/25/2016,39765.00
Social,1/26/2017,2484.00
Social,12/19/2017,2482.00
Display,9/29/2017,49581.00
Referral,2/26/2017,39614.00
Display,9/28/2017,49455.00
Display,9/25/2017,49329.00
Social,3/10/2017,2463.00
Social,7/21/2017,2460.00
Social,11/18/2017,2459.00
Display,12/17/2017,49141.00
Social,2/5/2017,2457.00
Social,6/17/2017,2455.00
Social,3/25/2017,2454.00
Social,11/14/2017,2451.00
Referral,1/19/2017,39187.00
Referral,7/4/2017,39187.00
(Other),9/24/2017,9791.00
Display,8/30/2017,48953.00
Social,3/17/2017,2448.00
Social,10/8/2017,2448.00
Referral,1/15/2017,39137.00
Direct,10/25/2016,4880.00
Social,2/4/2017,2438.00
Display,9/22/2017,48733.00
Social,2/26/2017,2435.00
Social,12/28/2017,2435.00
Social,2/6/2017,2434.00
(Other),8/31/2017,9728.00
Referral,3/10/2017,38911.00
Email,11/11/2017,19443.00
Paid Search,10/9/2016,29164.00
Referral,11/1/2016,38836.00
Social,1/21/2017,2423.00
Social,6/29/2017,2423.00
Display,9/21/2017,48419.00
Social,1/7/2018,2419.00
Referral,1/25/2017,38685.00
Display,8/16/2017,48325.00
(Other),4/15/2017,9659.00
Referral,1/4/2018,38584.00
Organic Search,10/25/2016,9640.00
Social,2/15/2017,2410.00
Social,3/20/2017,2408.00
Social,3/2/2017,2405.00
Display,10/17/2017,48073.00
Referral,9/23/2017,38459.00
Referral,10/28/2016,38408.00
Social,12/7/2017,2399.00
Social,1/30/2017,2397.00
Social,2/14/2017,2396.00
Referral,11/2/2016,38258.00
Social,10/2/2016,2391.00
(Other),9/8/2017,9558.00
(Other),3/23/2017,9552.00
Paid Search,11/9/2016,28599.00
Affiliates,12/27/2017,71451.00
Referral,5/20/2017,38107.00
Social,1/3/2018,2382.00
Display,8/10/2017,47602.00
(Other),5/2/2017,9514.00
(Other),5/10/2017,9514.00
Email,11/12/2017,19028.00
Referral,3/4/2017,38057.00
Social,1/6/2017,2372.00
Social,1/31/2017,2368.00
(Other),4/16/2017,9464.00
Social,3/23/2017,2366.00
Display,10/18/2017,47288.00
Social,7/20/2017,2364.00
Display,8/29/2017,47194.00
Social,12/11/2016,2360.00
Social,1/4/2018,2360.00
Display,8/17/2017,47163.00
Social,3/1/2017,2358.00
Social,10/7/2017,2358.00
Paid Search,10/29/2016,28279.00
Social,11/13/2017,2355.00
Email,12/28/2017,18827.00
Display,8/27/2017,47037.00
Email,12/21/2017,18790.00
Referral,2/28/2017,37504.00
